Número do grupo        	Número do animal	Número de lactação	Dias em Lactação	Pico de produção	Horário de Ordenha Hoje para Sessão 1	Horário de Ordenha Hoje para Sessão 2	Horário de Ordenha Hoje para Sessão 3	Duração de hoje para a sessão 1 (mm:ss)	Duração de hoje para a sessão 2 (mm:ss)	Duração de hoje para a sessão 3 (mm:ss)	Produção hoje na sessão 1	Produção hoje na sessão 2	Produção hoje na sessão 3	Sessão de hora de início 1 ontem	Sessão de hora de início 2 ontem	Sessão de hora de início 3 ontem	Duração da sessão ontem 1 (mm:ss)	Duração da sessão ontem 2 (mm:ss)	Duração da sessão ontem 3 (mm:ss)	Produção ontem da sessão 1	Produção ontem da sessão 2	Produção ontem da sessão 3
4                      	4550            	1                 	169             	24,09           	09:19                                	16:25                                	                                     	19:17                                  	05:44                                  	                                       	12,00                    	4,29                     	                         	09:23                           	16:39                           	                                	12:56                            	15:17                            	                                 	12,4                      	5,5                       	                          
4                      	4546            	1                 	170             	22,99           	09:19                                	16:25                                	                                     	19:06                                  	15:45                                  	                                       	12,63                    	6,50                     	                         	09:23                           	16:39                           	                                	23:49                            	15:34                            	                                 	12,8                      	6,4                       	                          
4                      	4548            	1                 	170             	26,71           	09:57                                	16:25                                	                                     	14:12                                  	17:03                                  	                                       	14,44                    	6,96                     	                         	10:08                           	17:15                           	                                	14:37                            	09:09                            	                                 	16,4                      	8,6                       	                          
4                      	4065            	1                 	173             	5,29            	09:26                                	16:31                                	                                     	04:33                                  	03:52                                  	                                       	7,71                     	3,80                     	                         	09:25                           	16:44                           	                                	08:29                            	04:17                            	                                 	6,1                       	5,5                       	                          
5                      	5408            	1                 	157             	25,98           	09:40                                	16:46                                	                                     	10:57                                  	05:51                                  	                                       	11,47                    	5,21                     	                         	09:52                           	16:56                           	                                	09:13                            	10:30                            	                                 	11,0                      	6,1                       	                          
5                      	4584            	1                 	115             	26,16           	09:40                                	16:45                                	                                     	14:03                                  	10:54                                  	                                       	10,97                    	6,29                     	                         	09:51                           	16:55                           	                                	19:30                            	12:09                            	                                 	12,3                      	7,1                       	                          
5                      	4572            	1                 	121             	21,32           	09:40                                	16:46                                	                                     	12:45                                  	08:09                                  	                                       	10,32                    	5,02                     	                         	09:52                           	16:58                           	                                	11:34                            	09:28                            	                                 	9,3                       	1,7                       	                          
5                      	4554            	1                 	144             	31,29           	09:41                                	16:46                                	                                     	12:35                                  	09:22                                  	                                       	10,20                    	6,18                     	                         	09:51                           	16:55                           	                                	13:55                            	10:31                            	                                 	11,6                      	5,2                       	                          
5                      	4544            	1                 	123             	19,33           	09:57                                	16:46                                	                                     	10:07                                  	10:05                                  	                                       	8,52                     	4,36                     	                         	10:08                           	17:13                           	                                	10:49                            	09:16                            	                                 	9,2                       	4,5                       	                          
6                      	4426            	2                 	112             	27,47           	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
