Número do grupo        	Número do animal	Número de lactação	Dias em Lactação	Produção hoje na sessão 1	Produção hoje na sessão 2	Produção hoje na sessão 3	Horário de Ordenha Hoje para Sessão 1	Horário de Ordenha Hoje para Sessão 2	Horário de Ordenha Hoje para Sessão 3	Duração de hoje para a sessão 1 (mm:ss)	Duração de hoje para a sessão 2 (mm:ss)	Duração de hoje para a sessão 3 (mm:ss)	Produção primeiros 2 minutos Sessão 1 hoje	Produção primeiros 2 minutos Sessão 2 hoje	Fluxo 0-15 da sessão 1 hoje	Fluxo 0-15 da sessão 2 hoje	Fluxo 15-30 da sessão 1 hoje	Fluxo 15-30 da sessão 2 hoje	Fluxo 30-60 da sessão 1 hoje	Fluxo 30-60 da sessão 2 hoje	Fluxo 60-120 da sessão 1 hoje	Fluxo 60-120 da sessão 2 hoje	Média do fluxo de hoje para a sessão 1	Média do fluxo de hoje para a sessão 2	Fluxo 0-15 da sessão 3 hoje	Pico do Fluxo de Hoje para a Sessão 1	Fluxo 15-30 da sessão 3 hoje	Pico do Fluxo de Hoje para a Sessão 2	Fluxo 30-60 da sessão 3 hoje	Fluxo 60-120 da sessão 3 hoje	Fluxo na Remoção de Hoje para a Sessão 1	Média do fluxo de hoje para a sessão 3	Fluxo na Remoção de Hoje para a Sessão 2	Pico do Fluxo de Hoje para a Sessão 3	Fluxo na Remoção de Hoje para a Sessão 3	Produção primeiros 2 minutos Sessão 3 hoje
3                      	4525            	1                 	134             	8,84                     	4,07                     	                         	08:59                                	16:21                                	                                     	07:19                                  	04:32                                  	                                       	2,20                                      	1,55                                      	0,00                       	0,10                       	0,20                        	0,10                        	1,10                        	0,80                        	1,60                         	1,10                         	1,2                                   	0,8                                   	                           	1,7                                  	                            	1,7                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
3                      	4066            	1                 	137             	9,39                     	5,95                     	                         	08:57                                	16:12                                	                                     	19:05                                  	10:34                                  	                                       	1,05                                      	0,03                                      	0,10                       	0,10                       	0,10                        	0,00                        	0,60                        	0,00                        	0,70                         	0,00                         	0,4                                   	0,5                                   	                           	1,4                                  	                            	1,2                                  	                            	                             	0,1                                     	                                      	0,0                                     	                                     	                                        	                                          
4                      	5407            	1                 	138             	13,84                    	7,42                     	                         	09:20                                	16:36                                	                                     	10:45                                  	05:48                                  	                                       	2,18                                      	2,23                                      	0,10                       	0,10                       	0,40                        	0,20                        	1,10                        	1,10                        	1,50                         	1,60                         	1,2                                   	1,2                                   	                           	1,9                                  	                            	1,8                                  	                            	                             	0,0                                     	                                      	0,1                                     	                                     	                                        	                                          
4                      	4587            	1                 	142             	7,70                     	4,33                     	                         	09:22                                	16:36                                	                                     	22:18                                  	06:03                                  	                                       	0,70                                      	1,13                                      	0,00                       	0,10                       	0,00                        	0,00                        	0,40                        	0,40                        	0,50                         	0,90                         	0,8                                   	0,7                                   	                           	2,2                                  	                            	1,4                                  	                            	                             	0,9                                     	                                      	0,5                                     	                                     	                                        	                                          
4                      	4581            	1                 	139             	11,40                    	8,00                     	                         	09:12                                	16:27                                	                                     	21:04                                  	13:09                                  	                                       	0,43                                      	0,83                                      	0,10                       	0,10                       	0,00                        	0,00                        	0,20                        	0,20                        	0,30                         	0,70                         	0,9                                   	0,6                                   	                           	1,8                                  	                            	1,4                                  	                            	                             	0,0                                     	                                      	0,1                                     	                                     	                                        	                                          
4                      	4583            	1                 	140             	9,00                     	6,15                     	                         	09:21                                	16:37                                	                                     	10:59                                  	07:02                                  	                                       	1,73                                      	2,08                                      	0,00                       	0,00                       	0,30                        	0,10                        	0,90                        	0,90                        	1,20                         	1,60                         	0,8                                   	0,8                                   	                           	1,6                                  	                            	1,9                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
4                      	4573            	1                 	137             	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
4                      	4548            	1                 	139             	16,35                    	8,75                     	                         	09:12                                	16:27                                	                                     	17:44                                  	14:01                                  	                                       	2,93                                      	1,90                                      	0,30                       	0,10                       	1,20                        	0,10                        	1,50                        	0,90                        	1,80                         	1,40                         	0,9                                   	0,6                                   	                           	2,5                                  	                            	1,9                                  	                            	                             	0,0                                     	                                      	0,0                                     	                                     	                                        	                                          
4                      	4550            	1                 	138             	11,08                    	4,53                     	                         	09:12                                	16:27                                	                                     	17:18                                  	06:38                                  	                                       	1,20                                      	0,73                                      	0,00                       	0,10                       	0,00                        	0,00                        	0,60                        	0,00                        	0,90                         	0,70                         	0,6                                   	0,6                                   	                           	1,5                                  	                            	1,3                                  	                            	                             	0,0                                     	                                      	0,1                                     	                                     	                                        	                                          
4                      	4546            	1                 	139             	12,33                    	6,62                     	                         	09:13                                	16:27                                	                                     	18:19                                  	09:22                                  	                                       	0,83                                      	1,18                                      	0,10                       	0,10                       	0,00                        	0,00                        	0,20                        	0,50                        	0,70                         	0,90                         	0,6                                   	0,7                                   	                           	1,3                                  	                            	1,2                                  	                            	                             	0,3                                     	                                      	0,1                                     	                                     	                                        	                                          
