Número do animal;Número do grupo;Dias em Lactação;Número de lactação;Data;Nome da sala de ordenha;Número da sala de ordenha;Número da sessão;Número do lote;Número de MPC;Hora ID;Hora de início;Duração do leite (mm:ss);Hora do fim;Produção (kg);Produção Relativa (%);Produção primeiros 2 minutos;Produção de LEC;Baixa produção;Segunda volta
5407;4;133;1;11/05/2017;Parlor1;1;1;3;1;;11/05/2017 08:57;15:39;09:13;11,77;193,00;0,70;;Unchecked;Unchecked
4582;3;129;1;11/05/2017;Parlor1;1;1;4;3;;11/05/2017 09:29;15:54;09:45;9,74;124,00;0,88;;Unchecked;Unchecked
4536;2;128;1;11/05/2017;Parlor1;1;1;4;4;;11/05/2017 09:30;12:48;09:42;5,56;117,00;1,25;;Unchecked;Unchecked
4585;2;127;1;11/05/2017;Parlor1;1;1;4;2;;11/05/2017 09:28;16:06;09:44;5,52;100,00;1,63;;Unchecked;Unchecked
5409;3;130;1;11/05/2017;Parlor1;1;1;4;1;;11/05/2017 09:28;15:17;09:43;10,95;119,00;2,13;;Unchecked;Unchecked
4065;4;137;1;11/05/2017;Parlor1;1;1;0;8;;11/05/2017 08:33;06:51;08:39;1,08;0,00;0,60;;Unchecked;Unchecked
4546;4;134;1;11/05/2017;Parlor1;1;1;0;6;;11/05/2017 08:28;14:21;08:42;5,35;0,00;0,90;;Unchecked;Unchecked
4581;4;134;1;11/05/2017;Parlor1;1;1;0;5;;11/05/2017 09:03;08:00;09:11;3,29;0,00;0,85;;Unchecked;Unchecked
4583;4;135;1;11/05/2017;Parlor1;1;1;0;7;;11/05/2017 08:28;16:00;08:44;3,61;0,00;2,50;;Unchecked;Unchecked
4551;3;129;1;11/05/2017;Parlor1;1;1;0;6;;11/05/2017 09:10;08:00;09:18;4,44;0,00;0,00;;Unchecked;Unchecked
5402;2;128;1;11/05/2017;Parlor1;1;1;0;7;;11/05/2017 09:11;08:00;09:19;2,64;0,00;0,00;;Unchecked;Unchecked
4525;3;129;1;11/05/2017;Parlor1;1;1;0;8;;11/05/2017 09:11;08:00;09:19;3,27;0,00;0,00;;Unchecked;Unchecked
4525;3;129;1;11/05/2017;Parlor1;1;2;4;4;;11/05/2017 13:37;09:58;13:47;3,99;81,00;1,25;;Unchecked;Unchecked
5402;2;128;1;11/05/2017;Parlor1;1;2;1;6;;11/05/2017 13:12;19:34;13:32;0,00;0,00;2,35;;Checked;Unchecked
4551;3;129;1;11/05/2017;Parlor1;1;2;1;7;;11/05/2017 13:13;22:40;13:36;0,00;0,00;1,25;;Checked;Unchecked
4586;2;132;1;11/05/2017;Parlor1;1;2;5;1;;11/05/2017 14:00;05:35;14:06;0,62;32,00;0,15;;Checked;Unchecked
