Animal Number,Group Number,Days In Milk,Lactation Number,Date,Parlor Name,Parlor Number,Session Number,Batch Number,MPC Number,Id Time,Begin Time,Milk duration (mm:ss),End Time,Yield,Rel. Yield (%),Yield First 2 Min.,ECM Yield,Low Yield,Second Lap
4585,2,50,1,5/10/2017,Parlor1,1,3,4,2,,5/10/2017 4:16 PM,11:57,4:28 PM,1.30,100.00,0.18,,Unchecked,Unchecked
4525,3,52,1,5/10/2017,Parlor1,1,3,4,1,,5/10/2017 4:15 PM,12:38,4:28 PM,1.19,163.00,0.63,,Unchecked,Unchecked
4551,3,52,1,5/10/2017,Parlor1,1,3,0,5,,5/10/2017 4:08 PM,30:22,4:39 PM,0.00,0.00,0.75,,Unchecked,Unchecked
4560,3,54,1,5/10/2017,Parlor1,1,3,0,6,,5/10/2017 4:09 PM,18:27,4:27 PM,0.00,0.00,0.03,,Unchecked,Unchecked
5403,3,53,1,5/10/2017,Parlor1,1,3,0,7,,5/10/2017 4:09 PM,12:59,4:22 PM,0.00,0.00,1.40,,Unchecked,Unchecked
4535,3,52,1,5/10/2017,Parlor1,1,3,0,8,,5/10/2017 4:08 PM,15:00,4:23 PM,0.00,0.00,0.60,,Unchecked,Unchecked
4586,2,55,1,5/10/2017,Parlor1,1,3,0,5,,5/10/2017 4:30 PM,08:00,4:38 PM,0.00,0.00,0.00,,Unchecked,Unchecked
4535,3,52,1,5/11/2017,Parlor1,1,1,3,2,,5/11/2017 8:58 AM,17:10,9:15 AM,4.54,114.00,1.33,,Unchecked,Unchecked
5403,3,53,1,5/11/2017,Parlor1,1,1,1,5,,5/11/2017 9:10 AM,12:59,9:23 AM,0.00,0.00,0.00,,Checked,Unchecked
4560,3,54,1,5/11/2017,Parlor1,1,1,3,4,,5/11/2017 8:59 AM,16:25,9:15 AM,9.36,200.00,1.18,,Unchecked,Unchecked
4586,2,55,1,5/11/2017,Parlor1,1,1,1,5,,5/11/2017 9:38 AM,15:05,9:53 AM,0.00,0.00,0.00,,Checked,Unchecked
4573,4,55,1,5/11/2017,Parlor1,1,1,2,3,,5/11/2017 8:26 AM,10:17,8:37 AM,4.31,116.00,1.13,,Unchecked,Unchecked
4587,4,60,1,5/11/2017,Parlor1,1,1,2,4,,5/11/2017 8:27 AM,16:03,8:43 AM,9.08,150.00,0.85,,Unchecked,Unchecked
4550,4,56,1,5/11/2017,Parlor1,1,1,2,2,,5/11/2017 8:26 AM,18:33,8:45 AM,13.41,213.00,1.05,,Unchecked,Unchecked
4548,4,57,1,5/11/2017,Parlor1,1,1,2,1,,5/11/2017 8:26 AM,18:50,8:45 AM,15.09,226.00,2.50,,Unchecked,Unchecked
4066,3,55,1,5/11/2017,Parlor1,1,1,3,3,,5/11/2017 8:58 AM,14:51,9:13 AM,6.97,117.00,0.85,,Unchecked,Unchecked
5407,4,56,1,5/11/2017,Parlor1,1,1,3,1,,5/11/2017 8:57 AM,15:39,9:13 AM,11.77,193.00,0.70,,Unchecked,Unchecked
4582,3,52,1,5/11/2017,Parlor1,1,1,4,3,,5/11/2017 9:29 AM,15:54,9:45 AM,9.74,124.00,0.88,,Unchecked,Unchecked
4536,2,51,1,5/11/2017,Parlor1,1,1,4,4,,5/11/2017 9:30 AM,12:48,9:42 AM,5.56,117.00,1.25,,Unchecked,Unchecked
4585,2,50,1,5/11/2017,Parlor1,1,1,4,2,,5/11/2017 9:28 AM,16:06,9:44 AM,5.52,100.00,1.63,,Unchecked,Unchecked
5409,3,53,1,5/11/2017,Parlor1,1,1,4,1,,5/11/2017 9:28 AM,15:17,9:43 AM,10.95,119.00,2.13,,Unchecked,Unchecked
4065,4,60,1,5/11/2017,Parlor1,1,1,0,8,,5/11/2017 8:33 AM,06:51,8:39 AM,1.08,0.00,0.60,,Unchecked,Unchecked
4546,4,57,1,5/11/2017,Parlor1,1,1,0,6,,5/11/2017 8:28 AM,14:21,8:42 AM,5.35,0.00,0.90,,Unchecked,Unchecked
4581,4,57,1,5/11/2017,Parlor1,1,1,0,5,,5/11/2017 9:03 AM,08:00,9:11 AM,3.29,0.00,0.85,,Unchecked,Unchecked
4583,4,58,1,5/11/2017,Parlor1,1,1,0,7,,5/11/2017 8:28 AM,16:00,8:44 AM,3.61,0.00,2.50,,Unchecked,Unchecked
4551,3,52,1,5/11/2017,Parlor1,1,1,0,6,,5/11/2017 9:10 AM,08:00,9:18 AM,4.44,0.00,0.00,,Unchecked,Unchecked
5402,2,51,1,5/11/2017,Parlor1,1,1,0,7,,5/11/2017 9:11 AM,08:00,9:19 AM,2.64,0.00,0.00,,Unchecked,Unchecked
4525,3,52,1,5/11/2017,Parlor1,1,1,0,8,,5/11/2017 9:11 AM,08:00,9:19 AM,3.27,0.00,0.00,,Unchecked,Unchecked
4525,3,52,1,5/11/2017,Parlor1,1,2,4,4,,5/11/2017 1:37 PM,09:58,1:47 PM,3.99,81.00,1.25,,Unchecked,Unchecked
5402,2,51,1,5/11/2017,Parlor1,1,2,1,6,,5/11/2017 1:12 PM,19:34,1:32 PM,0.00,0.00,2.35,,Checked,Unchecked
