Número do grupo        	Número do animal	Número de lactação	Dias em Lactação	Pico de produção	Horário de Ordenha Hoje para Sessão 1	Horário de Ordenha Hoje para Sessão 2	Horário de Ordenha Hoje para Sessão 3	Duração de hoje para a sessão 1 (mm:ss)	Duração de hoje para a sessão 2 (mm:ss)	Duração de hoje para a sessão 3 (mm:ss)	Produção hoje na sessão 1	Produção hoje na sessão 2	Produção hoje na sessão 3	Sessão de hora de início 1 ontem	Sessão de hora de início 2 ontem	Sessão de hora de início 3 ontem	Duração da sessão ontem 1 (mm:ss)	Duração da sessão ontem 2 (mm:ss)	Duração da sessão ontem 3 (mm:ss)	Produção ontem da sessão 1	Produção ontem da sessão 2	Produção ontem da sessão 3
3                      	4066            	1                 	112             	20,95           	08:49                                	16:12                                	                                     	03:42                                  	08:19                                  	                                       	9,76                     	3,49                     	                         	08:46                           	16:07                           	                                	13:30                            	15:32                            	                                 	8,7                       	8,1                       	                          
4                      	5407            	1                 	113             	22,24           	09:07                                	16:33                                	                                     	10:19                                  	06:42                                  	                                       	13,64                    	6,98                     	                         	09:11                           	16:21                           	                                	10:49                            	06:47                            	                                 	13,0                      	6,7                       	                          
4                      	4587            	1                 	117             	24,62           	09:14                                	16:25                                	                                     	20:25                                  	12:21                                  	                                       	7,54                     	6,61                     	                         	09:09                           	16:29                           	                                	10:46                            	09:22                            	                                 	10,0                      	4,9                       	                          
4                      	4581            	1                 	114             	25,37           	09:11                                	16:34                                	                                     	22:06                                  	18:38                                  	                                       	12,06                    	7,42                     	                         	09:08                           	16:29                           	                                	26:42                            	14:36                            	                                 	10,1                      	7,6                       	                          
4                      	4583            	1                 	115             	18,58           	09:14                                	16:35                                	                                     	10:51                                  	06:11                                  	                                       	8,36                     	4,35                     	                         	09:12                           	16:30                           	                                	11:17                            	07:51                            	                                 	6,8                       	5,2                       	                          
4                      	4573            	1                 	112             	7,72            	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	09:39                           	                                	                                	07:44                            	                                 	                                 	2,9                       	                          	                          
4                      	4548            	1                 	114             	26,71           	09:07                                	16:26                                	                                     	14:32                                  	13:18                                  	                                       	15,69                    	8,59                     	                         	09:09                           	16:21                           	                                	21:18                            	06:07                            	                                 	16,5                      	7,6                       	                          
4                      	4550            	1                 	113             	24,09           	09:07                                	16:26                                	                                     	11:34                                  	06:57                                  	                                       	11,65                    	5,11                     	                         	09:11                           	16:22                           	                                	12:14                            	06:45                            	                                 	10,7                      	4,9                       	                          
4                      	4546            	1                 	114             	22,99           	09:07                                	16:26                                	                                     	13:36                                  	09:57                                  	                                       	12,45                    	7,50                     	                         	09:08                           	16:22                           	                                	22:07                            	09:48                            	                                 	11,0                      	8,2                       	                          
4                      	4065            	1                 	117             	5,29            	09:14                                	16:34                                	                                     	04:26                                  	03:00                                  	                                       	7,53                     	3,76                     	                         	09:12                           	16:29                           	                                	04:34                            	03:17                            	                                 	7,4                       	3,9                       	                          
5                      	5408            	1                 	101             	25,98           	09:37                                	17:00                                	                                     	09:53                                  	08:22                                  	                                       	10,37                    	7,34                     	                         	09:39                           	16:46                           	                                	10:27                            	06:03                            	                                 	11,1                      	6,1                       	                          
5                      	4584            	1                 	59              	                	09:26                                	16:43                                	                                     	13:16                                  	13:11                                  	                                       	10,54                    	6,60                     	                         	09:16                           	16:36                           	                                	12:01                            	11:09                            	                                 	11,6                      	6,5                       	                          
5                      	4572            	1                 	65              	                	09:26                                	16:44                                	                                     	09:57                                  	06:31                                  	                                       	7,87                     	5,22                     	                         	09:28                           	16:35                           	                                	00:07                            	11:34                            	                                 	22,3                      	5,0                       	                          
5                      	4554            	1                 	88              	                	09:27                                	16:44                                	                                     	12:24                                  	12:34                                  	                                       	9,96                     	6,73                     	                         	09:17                           	16:37                           	                                	13:38                            	09:09                            	                                 	17,9                      	6,6                       	                          
5                      	4544            	1                 	67              	                	09:27                                	16:44                                	                                     	15:15                                  	13:16                                  	                                       	10,55                    	3,74                     	                         	09:24                           	16:37                           	                                	13:03                            	08:22                            	                                 	8,2                       	5,1                       	                          
6                      	2648            	1                 	132             	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
6                      	4426            	2                 	56              	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
6                      	4475            	1                 	122             	                	                                     	                                     	                                     	                                       	                                       	                                       	                         	                         	                         	                                	                                	                                	                                 	                                 	                                 	                          	                          	                          
