,Id_Animal,Hora_x,Producao,Data_x,Sessao,Timestamp,Fase,Data_y,Dia_Experimento,Dieta,Trat,Periodo,Hora_y,Temp_Vaginal
92,2623.0,2017-09-20 08:30:00,15.53,20/09/2017,S1,2017-09-20 08:30:00,2,2017-09-20 00:00:00,19,2,2,1,08:30:00,38.75
93,2624.0,2017-09-20 08:30:00,12.12,20/09/2017,S1,2017-09-20 08:30:00,2,2017-09-20 00:00:00,19,2,3,1,08:30:00,38.75
94,2662.0,2017-09-20 08:00:00,9.07,20/09/2017,S1,2017-09-20 08:00:00,2,2017-09-20 00:00:00,19,2,1,1,08:00:00,39.375
95,4498.0,2017-09-20 08:00:00,12.81,20/09/2017,S1,2017-09-20 08:00:00,2,2017-09-20 00:00:00,19,1,1,1,08:00:00,39.0
96,4448.0,2017-09-20 08:00:00,13.52,20/09/2017,S1,2017-09-20 08:00:00,2,2017-09-20 00:00:00,19,1,3,1,08:00:00,38.625
97,4412.0,2017-09-20 08:00:00,10.42,20/09/2017,S1,2017-09-20 08:00:00,2,2017-09-20 00:00:00,19,1,2,1,08:00:00,38.5
98,4421.0,2017-09-20 08:30:00,7.34,20/09/2017,S1,2017-09-20 08:30:00,2,2017-09-20 00:00:00,19,2,3,1,08:30:00,38.625
99,4021.0,2017-09-20 08:30:00,14.47,20/09/2017,S1,2017-09-20 08:30:00,2,2017-09-20 00:00:00,19,2,1,1,08:30:00,39.0
100,3579.0,2017-09-20 08:00:00,14.03,20/09/2017,S1,2017-09-20 08:00:00,2,2017-09-20 00:00:00,19,1,2,1,08:00:00,38.875
101,3500.0,2017-09-20 08:30:00,15.58,20/09/2017,S1,2017-09-20 08:30:00,2,2017-09-20 00:00:00,19,2,3,1,08:30:00,38.75
102,3475.0,2017-09-20 08:00:00,15.24,20/09/2017,S1,2017-09-20 08:00:00,2,2017-09-20 00:00:00,19,1,2,1,08:00:00,38.75
103,3424.0,2017-09-20 08:30:00,7.89,20/09/2017,S1,2017-09-20 08:30:00,2,2017-09-20 00:00:00,19,2,1,1,08:30:00,38.875
104,2581.0,2017-09-20 08:30:00,18.45,20/09/2017,S1,2017-09-20 08:30:00,2,2017-09-20 00:00:00,19,1,3,1,08:30:00,38.625
105,2567.0,2017-09-20 08:00:00,10.09,20/09/2017,S1,2017-09-20 08:00:00,2,2017-09-20 00:00:00,19,1,1,1,08:00:00,
106,2468.0,2017-09-20 08:30:00,14.72,20/09/2017,S1,2017-09-20 08:30:00,2,2017-09-20 00:00:00,19,2,2,1,08:30:00,39.375
107,2406.0,2017-09-20 08:30:00,11.07,20/09/2017,S1,2017-09-20 08:30:00,2,2017-09-20 00:00:00,19,2,2,1,08:30:00,38.875
108,3652.0,2017-09-18 08:00:00,13.94,18/09/2017,S1,2017-09-18 08:00:00,2,2017-09-18 00:00:00,17,1,3,1,08:00:00,38.75
109,653.0,2017-09-18 08:00:00,14.33,18/09/2017,S1,2017-09-18 08:00:00,2,2017-09-18 00:00:00,17,1,1,1,08:00:00,38.25
110,2623.0,2017-09-18 08:30:00,15.48,18/09/2017,S1,2017-09-18 08:30:00,2,2017-09-18 00:00:00,17,2,2,1,08:30:00,38.75
111,2624.0,2017-09-18 08:30:00,14.46,18/09/2017,S1,2017-09-18 08:30:00,2,2017-09-18 00:00:00,17,2,3,1,08:30:00,37.75
112,2662.0,2017-09-18 08:00:00,7.48,18/09/2017,S1,2017-09-18 08:00:00,2,2017-09-18 00:00:00,17,2,1,1,08:00:00,39.125
113,4498.0,2017-09-18 08:00:00,11.37,18/09/2017,S1,2017-09-18 08:00:00,2,2017-09-18 00:00:00,17,1,1,1,08:00:00,38.875
114,4448.0,2017-09-18 08:00:00,13.99,18/09/2017,S1,2017-09-18 08:00:00,2,2017-09-18 00:00:00,17,1,3,1,08:00:00,38.625
115,4412.0,2017-09-18 08:00:00,10.88,18/09/2017,S1,2017-09-18 08:00:00,2,2017-09-18 00:00:00,17,1,2,1,08:00:00,38.875
116,4421.0,2017-09-18 08:30:00,7.54,18/09/2017,S1,2017-09-18 08:30:00,2,2017-09-18 00:00:00,17,2,3,1,08:30:00,39.0
117,4021.0,2017-09-18 08:00:00,14.44,18/09/2017,S1,2017-09-18 08:00:00,2,2017-09-18 00:00:00,17,2,1,1,08:00:00,38.875
118,3579.0,2017-09-18 08:00:00,13.22,18/09/2017,S1,2017-09-18 08:00:00,2,2017-09-18 00:00:00,17,1,2,1,08:00:00,39.125
119,3500.0,2017-09-18 08:00:00,15.46,18/09/2017,S1,2017-09-18 08:00:00,2,2017-09-18 00:00:00,17,2,3,1,08:00:00,38.5
120,3475.0,2017-09-18 08:00:00,15.67,18/09/2017,S1,2017-09-18 08:00:00,2,2017-09-18 00:00:00,17,1,2,1,08:00:00,38.75
121,3424.0,2017-09-18 08:00:00,9.48,18/09/2017,S1,2017-09-18 08:00:00,2,2017-09-18 00:00:00,17,2,1,1,08:00:00,39.0
122,2581.0,2017-09-18 08:00:00,17.73,18/09/2017,S1,2017-09-18 08:00:00,2,2017-09-18 00:00:00,17,1,3,1,08:00:00,38.75
123,2567.0,2017-09-18 08:00:00,13.65,18/09/2017,S1,2017-09-18 08:00:00,2,2017-09-18 00:00:00,17,1,1,1,08:00:00,39.25
124,2468.0,2017-09-18 08:30:00,15.1,18/09/2017,S1,2017-09-18 08:30:00,2,2017-09-18 00:00:00,17,2,2,1,08:30:00,39.0
125,2406.0,2017-09-18 08:30:00,11.07,18/09/2017,S1,2017-09-18 08:30:00,2,2017-09-18 00:00:00,17,2,2,1,08:30:00,38.75
126,3652.0,2017-09-14 08:00:00,14.05,14/09/2017,S1,2017-09-14 08:00:00,2,2017-09-14 00:00:00,13,1,3,0,08:00:00,38.375
127,653.0,2017-09-14 08:00:00,15.14,14/09/2017,S1,2017-09-14 08:00:00,2,2017-09-14 00:00:00,13,1,1,0,08:00:00,38.375
128,2623.0,2017-09-14 08:30:00,14.87,14/09/2017,S1,2017-09-14 08:30:00,2,2017-09-14 00:00:00,13,2,2,0,08:30:00,39.0
129,2624.0,2017-09-14 08:30:00,15.33,14/09/2017,S1,2017-09-14 08:30:00,2,2017-09-14 00:00:00,13,2,3,0,08:30:00,37.75
130,2662.0,2017-09-14 08:30:00,13.3,14/09/2017,S1,2017-09-14 08:30:00,2,2017-09-14 00:00:00,13,2,1,0,08:30:00,38.75
131,4498.0,2017-09-14 08:00:00,12.16,14/09/2017,S1,2017-09-14 08:00:00,2,2017-09-14 00:00:00,13,1,1,0,08:00:00,39.125
132,4448.0,2017-09-14 08:00:00,13.09,14/09/2017,S1,2017-09-14 08:00:00,2,2017-09-14 00:00:00,13,1,3,0,08:00:00,38.875
133,4412.0,2017-09-14 08:00:00,11.25,14/09/2017,S1,2017-09-14 08:00:00,2,2017-09-14 00:00:00,13,1,2,0,08:00:00,38.5
134,4421.0,2017-09-14 10:00:00,7.91,14/09/2017,S1,2017-09-14 10:00:00,2,2017-09-14 00:00:00,13,2,3,0,10:00:00,38.625
135,4021.0,2017-09-14 08:30:00,14.26,14/09/2017,S1,2017-09-14 08:30:00,2,2017-09-14 00:00:00,13,2,1,0,08:30:00,38.75
136,3579.0,2017-09-14 08:00:00,13.12,14/09/2017,S1,2017-09-14 08:00:00,2,2017-09-14 00:00:00,13,1,2,0,08:00:00,39.0
137,3500.0,2017-09-14 08:30:00,14.65,14/09/2017,S1,2017-09-14 08:30:00,2,2017-09-14 00:00:00,13,2,3,0,08:30:00,38.625
138,3475.0,2017-09-14 08:00:00,13.64,14/09/2017,S1,2017-09-14 08:00:00,2,2017-09-14 00:00:00,13,1,2,0,08:00:00,
139,3424.0,2017-09-14 08:30:00,9.15,14/09/2017,S1,2017-09-14 08:30:00,2,2017-09-14 00:00:00,13,2,1,0,08:30:00,38.625
140,2581.0,2017-09-14 08:30:00,28.75,14/09/2017,S1,2017-09-14 08:30:00,2,2017-09-14 00:00:00,13,1,3,0,08:30:00,38.875
141,2567.0,2017-09-14 08:00:00,14.66,14/09/2017,S1,2017-09-14 08:00:00,2,2017-09-14 00:00:00,13,1,1,0,08:00:00,38.875
142,2468.0,2017-09-14 08:30:00,14.14,14/09/2017,S1,2017-09-14 08:30:00,2,2017-09-14 00:00:00,13,2,2,0,08:30:00,39.125
143,2406.0,2017-09-14 08:30:00,10.26,14/09/2017,S1,2017-09-14 08:30:00,2,2017-09-14 00:00:00,13,2,2,0,08:30:00,38.75
144,3652.0,2017-09-13 08:00:00,13.23,13/09/2017,S1,2017-09-13 08:00:00,2,2017-09-13 00:00:00,12,1,3,0,08:00:00,
145,653.0,2017-09-13 08:30:00,9.46,13/09/2017,S1,2017-09-13 08:30:00,2,2017-09-13 00:00:00,12,1,1,0,08:30:00,38.375
146,2623.0,2017-09-13 08:30:00,15.25,13/09/2017,S1,2017-09-13 08:30:00,2,2017-09-13 00:00:00,12,2,2,0,08:30:00,38.75
147,2624.0,2017-09-13 08:30:00,14.56,13/09/2017,S1,2017-09-13 08:30:00,2,2017-09-13 00:00:00,12,2,3,0,08:30:00,
148,2662.0,2017-09-13 08:30:00,27.21,13/09/2017,S1,2017-09-13 08:30:00,2,2017-09-13 00:00:00,12,2,1,0,08:30:00,38.625
149,4498.0,2017-09-13 08:00:00,9.95,13/09/2017,S1,2017-09-13 08:00:00,2,2017-09-13 00:00:00,12,1,1,0,08:00:00,39.375
150,4448.0,2017-09-13 08:00:00,12.97,13/09/2017,S1,2017-09-13 08:00:00,2,2017-09-13 00:00:00,12,1,3,0,08:00:00,38.875
151,4412.0,2017-09-13 08:00:00,11.42,13/09/2017,S1,2017-09-13 08:00:00,2,2017-09-13 00:00:00,12,1,2,0,08:00:00,38.75
152,4421.0,2017-09-13 10:30:00,7.96,13/09/2017,S1,2017-09-13 10:30:00,2,2017-09-13 00:00:00,12,2,3,0,10:30:00,38.75
153,4021.0,2017-09-13 08:30:00,15.06,13/09/2017,S1,2017-09-13 08:30:00,2,2017-09-13 00:00:00,12,2,1,0,08:30:00,
154,3579.0,2017-09-13 08:00:00,14.13,13/09/2017,S1,2017-09-13 08:00:00,2,2017-09-13 00:00:00,12,1,2,0,08:00:00,
155,3500.0,2017-09-13 08:30:00,13.99,13/09/2017,S1,2017-09-13 08:30:00,2,2017-09-13 00:00:00,12,2,3,0,08:30:00,
156,3475.0,2017-09-13 08:00:00,13.64,13/09/2017,S1,2017-09-13 08:00:00,2,2017-09-13 00:00:00,12,1,2,0,08:00:00,
157,3424.0,2017-09-13 08:30:00,8.62,13/09/2017,S1,2017-09-13 08:30:00,2,2017-09-13 00:00:00,12,2,1,0,08:30:00,
158,2581.0,2017-09-13 08:00:00,17.29,13/09/2017,S1,2017-09-13 08:00:00,2,2017-09-13 00:00:00,12,1,3,0,08:00:00,38.75
159,2567.0,2017-09-13 08:00:00,15.68,13/09/2017,S1,2017-09-13 08:00:00,2,2017-09-13 00:00:00,12,1,1,0,08:00:00,
160,2468.0,2017-09-13 08:30:00,15.24,13/09/2017,S1,2017-09-13 08:30:00,2,2017-09-13 00:00:00,12,2,2,0,08:30:00,39.125
