Column1;Id_Animal;Hora_S1;Hora_S2;Hora_S3;Prod_S1;Prod_S2;Prod_S3;Data
35;45570;08:30:00;16:00:00;                                     ;1155;869;                         ;05/09/2017
36;45350;09:00:00;16:00:00;                                     ;917;448;                         ;05/09/2017
37;45250;09:00:00;16:00:00;                                     ;903;470;                         ;05/09/2017
38;40660;09:00:00;16:00:00;                                     ;940;597;                         ;05/09/2017
39;54070;09:30:00;16:30:00;                                     ;1310;830;                         ;05/09/2017
40;45870;;;                                     ;;;                         ;05/09/2017
41;45810;09:30:00;16:30:00;                                     ;1129;876;                         ;05/09/2017
42;45830;09:30:00;16:30:00;                                     ;639;763;                         ;05/09/2017
43;45730;;;                                     ;;;                         ;05/09/2017
44;45480;09:30:00;16:30:00;                                     ;1514;873;                         ;05/09/2017
45;45500;09:30:00;16:30:00;                                     ;1137;490;                         ;05/09/2017
46;45460;09:30:00;16:30:00;                                     ;1338;701;                         ;05/09/2017
47;40650;09:30:00;16:30:00;                                     ;742;361;                         ;05/09/2017
48;54080;09:30:00;17:00:00;                                     ;1241;777;                         ;05/09/2017
49;45840;09:30:00;16:30:00;                                     ;1217;710;                         ;05/09/2017
50;45720;09:30:00;16:30:00;                                     ;791;581;                         ;05/09/2017
51;45540;09:30:00;16:30:00;                                     ;1018;521;                         ;05/09/2017
52;45440;09:30:00;16:30:00;                                     ;915;489;                         ;05/09/2017
53;26480;;;                                     ;;;                         ;05/09/2017
54;44260;;;                                     ;;;                         ;05/09/2017
55;44750;;;                                     ;;;                         ;05/09/2017
56;44770;;;                                     ;;;                         ;05/09/2017
57;44650;;;                                     ;;;                         ;05/09/2017
58;35300;;;                                     ;;;                         ;05/09/2017
59;34580;;;                                     ;;;                         ;05/09/2017
60;34370;;;                                     ;;;                         ;05/09/2017
61;25600;;;                                     ;;;                         ;05/09/2017
62;24160;;;                                     ;;;                         ;05/09/2017
63;27100;;;                                     ;;;                         ;05/09/2017
64;36000;;;                                     ;;;                         ;05/09/2017
65;36440;;;                                     ;;;                         ;05/09/2017
66;37850;;;                                     ;;;                         ;05/09/2017
67;44530;;;                                     ;;;                         ;05/09/2017
68;35380;;;                                     ;;;                         ;05/09/2017
69;34600;;;                                     ;;;                         ;05/09/2017
70;24830;;;                                     ;;;                         ;05/09/2017
71;24310;;;                                     ;;;                         ;05/09/2017
0;6530;08:00:00;15:30:00;                                     ;1606;886;                         ;02/09/2017
1;26230;08:00:00;15:30:00;                                     ;1249;820;                         ;02/09/2017
2;26240;08:00:00;16:00:00;                                     ;1339;1095;                         ;02/09/2017
3;26620;09:30:00;17:00:00;                                     ;1312;698;                         ;02/09/2017
4;36520;08:00:00;15:30:00;                                     ;1249;663;                         ;02/09/2017
5;45880;;;                                     ;;;                         ;02/09/2017
6;45490;;;                                     ;;;                         ;02/09/2017
7;44980;07:30:00;15:30:00;                                     ;1407;867;                         ;02/09/2017
8;44480;07:30:00;15:30:00;                                     ;1280;685;                         ;02/09/2017
9;44120;07:30:00;15:30:00;                                     ;1007;500;                         ;02/09/2017
10;44210;09:30:00;17:00:00;                                     ;797;402;                         ;02/09/2017
11;40210;08:00:00;15:30:00;                                     ;1275;531;                         ;02/09/2017
12;35790;07:30:00;15:30:00;                                     ;1245;728;                         ;02/09/2017
13;35270;;;                                     ;;;                         ;02/09/2017
14;35000;08:00:00;15:30:00;                                     ;1315;673;                         ;02/09/2017
15;34750;08:00:00;15:30:00;                                     ;1472;695;                         ;02/09/2017
16;34240;08:00:00;16:00:00;                                     ;1068;491;                         ;02/09/2017
17;25810;09:30:00;17:00:00;                                     ;1793;802;                         ;02/09/2017
18;25670;07:30:00;15:30:00;                                     ;1575;785;                         ;02/09/2017
19;24680;08:00:00;15:30:00;                                     ;1278;533;                         ;02/09/2017
20;24060;08:00:00;16:00:00;                                     ;1056;542;                         ;02/09/2017
21;45860;08:30:00;16:00:00;                                     ;763;472;                         ;02/09/2017
22;54020;;;                                     ;;;                         ;02/09/2017
23;45770;;;                                     ;;;                         ;02/09/2017
24;45850;08:30:00;16:00:00;                                     ;957;618;                         ;02/09/2017
25;45750;08:30:00;16:00:00;                                     ;1264;724;                         ;02/09/2017
26;45450;08:30:00;16:00:00;                                     ;1251;657;                         ;02/09/2017
27;45280;08:30:00;16:00:00;                                     ;706;230;                         ;02/09/2017
28;45360;08:30:00;16:00:00;                                     ;1007;582;                         ;02/09/2017
29;45370;08:30:00;16:00:00;                                     ;344;341;                         ;02/09/2017
30;54090;08:30:00;16:00:00;                                     ;1094;609;                         ;02/09/2017
31;54030;08:30:00;16:00:00;                                     ;1083;674;                         ;02/09/2017
32;45820;08:30:00;16:00:00;                                     ;788;379;                         ;02/09/2017
33;45600;08:30:00;16:00:00;                                     ;1553;830;                         ;02/09/2017
34;45510;08:30:00;16:00:00;                                     ;1284;755;                         ;02/09/2017
35;45570;08:30:00;16:00:00;                                     ;1177;866;                         ;02/09/2017
36;45350;08:30:00;16:00:00;                                     ;849;488;                         ;02/09/2017
37;45250;08:30:00;16:00:00;                                     ;947;522;                         ;02/09/2017
38;40660;08:30:00;16:00:00;                                     ;973;665;                         ;02/09/2017
39;54070;09:00:00;16:30:00;                                     ;1270;733;                         ;02/09/2017
40;45870;;;                                     ;;;                         ;02/09/2017
41;45810;09:30:00;16:30:00;                                     ;1193;932;                         ;02/09/2017
42;45830;09:00:00;16:30:00;                                     ;853;645;                         ;02/09/2017
43;45730;;;                                     ;;;                         ;02/09/2017
44;45480;09:00:00;16:30:00;                                     ;1534;888;                         ;02/09/2017
45;45500;09:00:00;16:30:00;                                     ;1200;489;                         ;02/09/2017
46;45460;09:00:00;16:30:00;                                     ;1139;705;                         ;02/09/2017
47;40650;09:00:00;16:30:00;                                     ;803;424;                         ;02/09/2017
