,Grupo,Id_Animal,Num_Lac,Dias_Lac,Pico,Hora_S1,Hora_S2,Hora_S3,Durac_S1,Durac_S2,Durac_S3,Prod_S1,Prod_S2,Prod_S3,Hora_S1_ont,Hora_S2_ont,Hora_S3_ont,Dura_S1_ont,Dura_S2_ont,Dura_S3_ont,Prod_S1_ont,Prod_S2_ont,Prod_S3_ont,Data
54,5,4544.0,1.0,76.0,,,2017-09-03 16:30:00,,,1901-07-06 00:00:00,,,4.6,,2017-09-02 09:00:00,2017-09-02 16:30:00,,1902-01-01 00:00:00,1901-06-15 00:00:00,,9.82,4.05,,03/09/2017
55,6,4426.0,2.0,65.0,,,,,,,,,,,,,,,,,,,,03/09/2017
56,6,2648.0,1.0,141.0,,,,,,,,,,,,,,,,,,,,03/09/2017
57,6,4475.0,1.0,131.0,,,,,,,,,,,,,,,,,,,,03/09/2017
58,6,4477.0,2.0,149.0,,,,,,,,,,,,,,,,,,,,03/09/2017
59,6,4465.0,2.0,145.0,,,,,,,,,,,,,,,,,,,,03/09/2017
60,6,3530.0,1.0,128.0,22.58,,,,,,,,,,,,,,,,,,,03/09/2017
61,6,3458.0,1.0,148.0,,,,,,,,,,,,,,,,,,,,03/09/2017
62,6,3437.0,1.0,149.0,20.47,,,,,,,,,,,,,,,,,,,03/09/2017
63,6,2560.0,2.0,151.0,,,,,,,,,,,,,,,,,,,,03/09/2017
64,6,2416.0,2.0,132.0,,,,,,,,,,,,,,,,,,,,03/09/2017
65,7,3785.0,1.0,142.0,25.41,,,,,,,,,,,,,,,,,,,03/09/2017
66,7,2710.0,1.0,139.0,,,,,,,,,,,,,,,,,,,,03/09/2017
67,7,3600.0,1.0,149.0,,,,,,,,,,,,,,,,,,,,03/09/2017
68,7,3644.0,1.0,145.0,,,,,,,,,,,,,,,,,,,,03/09/2017
69,7,4453.0,2.0,143.0,,,,,,,,,,,,,,,,,,,,03/09/2017
70,7,3538.0,8.0,149.0,,,,,,,,,,,,,,,,,,,,03/09/2017
71,7,3460.0,1.0,146.0,,,,,,,,,,,,,,,,,,,,03/09/2017
72,7,2483.0,2.0,144.0,,,,,,,,,,,,,,,,,,,,03/09/2017
73,7,2431.0,1.0,150.0,24.81,,,,,,,,,,,,,,,,,,,03/09/2017
74,74,74.0,1.2972972972973,120.675675675676,20.71984,,,,,,,522.58,265.31,,,,,,,,515.15,287.82,,03/09/2017
75,[Número do grupo] < '8',,,,,,,,,,,,,,,,,,,,,,,03/09/2017
0,,4426.0,2.0,91.0,,,,,,,,,,,,,,,,,,,,04/09/2017
1,,2646.0,1.0,494.0,11.24,,,,,,,,,,,,,,,,,,,04/09/2017
2,1,3652.0,2.0,94.0,,2017-09-04 08:00:00,2017-09-04 15:30:00,,1900-11-23 00:00:00,1900-10-06 00:00:00,,7.65,6.42,,2017-09-03 08:00:00,2017-09-03 15:30:00,,1901-01-05 00:00:00,1900-10-08 00:00:00,,12.58,5.96,,04/09/2017
