,Id_Animal,Hora_S1,Hora_S2,Hora_S3,Prod_S1,Prod_S2,Prod_S3,Data
38,4066.0,08:29                                ,16:06                                ,                                     ,7.42                     ,6.85                     ,                         ,03/09/2017
39,5407.0,09:22                                ,16:22                                ,                                     ,8.36                     ,7.55                     ,                         ,03/09/2017
40,4587.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,03/09/2017
41,4581.0,09:11                                ,                                     ,                                     ,11.93                    ,                         ,                         ,03/09/2017
42,4583.0,09:12                                ,16:22                                ,                                     ,8.53                     ,4.44                     ,                         ,03/09/2017
43,4573.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,03/09/2017
44,4548.0,09:21                                ,16:21                                ,                                     ,24.65                    ,9.41                     ,                         ,03/09/2017
45,4550.0,09:22                                ,16:21                                ,                                     ,23.11                    ,5.17                     ,                         ,03/09/2017
46,4546.0,09:21                                ,                                     ,                                     ,21.25                    ,                         ,                         ,03/09/2017
47,4065.0,09:12                                ,                                     ,                                     ,8.03                     ,                         ,                         ,03/09/2017
48,5408.0,09:24                                ,16:34                                ,                                     ,9.51                     ,6.87                     ,                         ,03/09/2017
49,4584.0,09:17                                ,16:33                                ,                                     ,11.61                    ,6.86                     ,                         ,03/09/2017
50,4572.0,09:30                                ,16:34                                ,                                     ,8.01                     ,5.21                     ,                         ,03/09/2017
51,4554.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,03/09/2017
52,4544.0,                                     ,16:34                                ,                                     ,                         ,4.60                     ,                         ,03/09/2017
53,2648.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,03/09/2017
54,4426.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,03/09/2017
55,4475.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,03/09/2017
56,4477.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,03/09/2017
57,4465.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,03/09/2017
58,3530.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,03/09/2017
59,3458.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,03/09/2017
60,3437.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,03/09/2017
61,2560.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,03/09/2017
62,2416.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,03/09/2017
