,Fase,Data,Dia_Experimento,Id_Animal,Dieta,Trat,Periodo,Hora,Temp_Vaginal,Timestamp
155,1,2017-07-23 00:00:00,15,2416,2,2,1,13:01:00,39.125,2017-07-23 13:01:00
156,1,2017-07-23 00:00:00,15,2416,2,2,1,13:31:00,39.375,2017-07-23 13:31:00
157,1,2017-07-23 00:00:00,15,2416,2,2,1,14:01:00,39.375,2017-07-23 14:01:00
158,1,2017-07-23 00:00:00,15,2416,2,2,1,14:31:00,39.5,2017-07-23 14:31:00
159,1,2017-07-23 00:00:00,15,2416,2,2,1,15:01:00,39.625,2017-07-23 15:01:00
160,1,2017-07-23 00:00:00,15,2416,2,2,1,15:31:00,39.375,2017-07-23 15:31:00
161,1,2017-07-23 00:00:00,15,2416,2,2,1,16:01:00,39.75,2017-07-23 16:01:00
162,1,2017-07-23 00:00:00,15,2416,2,2,1,16:31:00,40.0,2017-07-23 16:31:00
163,1,2017-07-23 00:00:00,15,2416,2,2,1,17:01:00,39.75,2017-07-23 17:01:00
164,1,2017-07-23 00:00:00,15,2416,2,2,1,17:31:00,39.375,2017-07-23 17:31:00
165,1,2017-07-23 00:00:00,15,2416,2,2,1,18:01:00,39.0,2017-07-23 18:01:00
166,1,2017-07-23 00:00:00,15,2416,2,2,1,18:31:00,39.125,2017-07-23 18:31:00
167,1,2017-07-23 00:00:00,15,2416,2,2,1,19:01:00,39.0,2017-07-23 19:01:00
168,1,2017-07-23 00:00:00,15,2416,2,2,1,19:31:00,39.0,2017-07-23 19:31:00
169,1,2017-07-23 00:00:00,15,2416,2,2,1,20:01:00,38.875,2017-07-23 20:01:00
170,1,2017-07-23 00:00:00,15,2416,2,2,1,20:31:00,39.125,2017-07-23 20:31:00
171,1,2017-07-23 00:00:00,15,2416,2,2,1,21:01:00,39.125,2017-07-23 21:01:00
172,1,2017-07-23 00:00:00,15,2416,2,2,1,21:31:00,39.25,2017-07-23 21:31:00
173,1,2017-07-23 00:00:00,15,2416,2,2,1,22:01:00,39.25,2017-07-23 22:01:00
174,1,2017-07-23 00:00:00,15,2416,2,2,1,22:31:00,39.375,2017-07-23 22:31:00
175,1,2017-07-23 00:00:00,15,2416,2,2,1,23:01:00,39.25,2017-07-23 23:01:00
176,1,2017-07-23 00:00:00,15,2416,2,2,1,23:31:00,39.125,2017-07-23 23:31:00
177,1,2017-07-24 00:00:00,16,2416,2,2,1,00:01:00,39.125,2017-07-24 00:01:00
178,1,2017-07-24 00:00:00,16,2416,2,2,1,00:31:00,39.25,2017-07-24 00:31:00
179,1,2017-07-24 00:00:00,16,2416,2,2,1,01:01:00,39.125,2017-07-24 01:01:00
180,1,2017-07-24 00:00:00,16,2416,2,2,1,01:31:00,39.125,2017-07-24 01:31:00
