Número do grupo        	Número do animal	Número de lactação	Dias em Lactação	Produção hoje na sessão 1	Produção hoje na sessão 2	Produção hoje na sessão 3	Horário de Ordenha Hoje para Sessão 1	Horário de Ordenha Hoje para Sessão 2	Horário de Ordenha Hoje para Sessão 3	Duração de hoje para a sessão 1 (mm:ss)	Duração de hoje para a sessão 2 (mm:ss)	Duração de hoje para a sessão 3 (mm:ss)	Produção primeiros 2 minutos Sessão 1 hoje	Produção primeiros 2 minutos Sessão 2 hoje	Fluxo 0-15 da sessão 1 hoje	Fluxo 0-15 da sessão 2 hoje	Fluxo 15-30 da sessão 1 hoje	Fluxo 15-30 da sessão 2 hoje	Fluxo 30-60 da sessão 1 hoje	Fluxo 30-60 da sessão 2 hoje	Fluxo 60-120 da sessão 1 hoje	Fluxo 60-120 da sessão 2 hoje	Média do fluxo de hoje para a sessão 1	Média do fluxo de hoje para a sessão 2	Fluxo 0-15 da sessão 3 hoje	Pico do Fluxo de Hoje para a Sessão 1	Fluxo 15-30 da sessão 3 hoje	Pico do Fluxo de Hoje para a Sessão 2	Fluxo 30-60 da sessão 3 hoje	Fluxo 60-120 da sessão 3 hoje	Fluxo na Remoção de Hoje para a Sessão 1	Média do fluxo de hoje para a sessão 3	Fluxo na Remoção de Hoje para a Sessão 2	Pico do Fluxo de Hoje para a Sessão 3	Fluxo na Remoção de Hoje para a Sessão 3	Produção primeiros 2 minutos Sessão 3 hoje
4                      	4550            	1                 	159             	11,71                    	5,10                     	                         	09:09                                	16:46                                	                                     	18:13                                  	10:22                                  	                                       	1,40                                      	1,35                                      	0,10                       	0,00                       	0,10                        	0,00                        	0,70                        	0,50                        	1,00                         	1,10                         	0,6                                   	0,4                                   	                           	1,6                                  	                            	1,4                                  	                            	                             	0,0                                     	                                      	0,1                                     	                                     	                                        	                                          
4                      	4546            	1                 	160             	12,10                    	6,44                     	                         	09:09                                	16:46                                	                                     	17:58                                  	11:02                                  	                                       	1,18                                      	0,43                                      	0,10                       	0,10                       	0,00                        	0,00                        	0,70                        	0,00                        	0,80                         	0,40                         	0,6                                   	0,5                                   	                           	1,6                                  	                            	1,1                                  	                            	                             	0,1                                     	                                      	0,0                                     	                                     	                                        	                                          
4                      	4548            	1                 	160             	13,23                    	8,65                     	                         	09:09                                	16:45                                	                                     	16:54                                  	14:16                                  	                                       	1,98                                      	2,65                                      	0,10                       	0,00                       	0,20                        	0,60                        	1,00                        	1,60                        	1,40                         	1,70                         	0,7                                   	0,6                                   	                           	2,0                                  	                            	2,0                                  	                            	                             	0,1                                     	                                      	0,0                                     	                                     	                                        	                                          
4                      	4065            	1                 	163             	7,81                     	3,93                     	                         	09:18                                	16:49                                	                                     	08:01                                  	03:43                                  	                                       	0,40                                      	1,78                                      	0,00                       	0,00                       	1,40                        	0,10                        	0,10                        	0,30                        	0,00                         	1,60                         	0,9                                   	1,0                                   	                           	3,2                                  	                            	3,4                                  	                            	                             	0,0                                     	                                      	0,2                                     	                                     	                                        	                                          
5                      	5408            	1                 	147             	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
5                      	4584            	1                 	105             	9,33                     	5,42                     	                         	09:35                                	17:02                                	                                     	13:43                                  	08:58                                  	                                       	0,85                                      	1,08                                      	0,00                       	0,10                       	0,00                        	0,00                        	0,30                        	0,50                        	0,70                         	0,80                         	0,6                                   	0,6                                   	                           	1,3                                  	                            	1,2                                  	                            	                             	0,2                                     	                                      	0,3                                     	                                     	                                        	                                          
5                      	4572            	1                 	111             	7,84                     	4,32                     	                         	09:35                                	17:02                                	                                     	11:56                                  	08:29                                  	                                       	1,43                                      	0,93                                      	0,10                       	0,10                       	0,20                        	0,00                        	0,90                        	0,40                        	0,90                         	0,70                         	0,6                                   	0,5                                   	                           	1,3                                  	                            	1,1                                  	                            	                             	0,0                                     	                                      	0,0                                     	                                     	                                        	                                          
5                      	4554            	1                 	134             	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
5                      	4544            	1                 	113             	8,60                     	4,73                     	                         	09:35                                	17:01                                	                                     	11:43                                  	06:44                                  	                                       	0,98                                      	1,00                                      	0,00                       	0,00                       	0,10                        	0,00                        	0,50                        	0,20                        	0,70                         	0,90                         	0,7                                   	0,7                                   	                           	1,4                                  	                            	1,3                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
6                      	4426            	2                 	102             	                         	                         	                         	                                     	                                     	                                     	                                       	                                       	                                       	                                          	                                          	                           	                           	                            	                            	                            	                            	                             	                             	                                      	                                      	                           	                                     	                            	                                     	                            	                             	                                        	                                      	                                        	                                     	                                        	                                          
