Número do grupo        	Número do animal	Número de lactação	Dias em Lactação	Produção hoje na sessão 1	Produção hoje na sessão 2	Produção hoje na sessão 3	Horário de Ordenha Hoje para Sessão 1	Horário de Ordenha Hoje para Sessão 2	Horário de Ordenha Hoje para Sessão 3	Duração de hoje para a sessão 1 (mm:ss)	Duração de hoje para a sessão 2 (mm:ss)	Duração de hoje para a sessão 3 (mm:ss)	Produção primeiros 2 minutos Sessão 1 hoje	Produção primeiros 2 minutos Sessão 2 hoje	Fluxo 0-15 da sessão 1 hoje	Fluxo 0-15 da sessão 2 hoje	Fluxo 15-30 da sessão 1 hoje	Fluxo 15-30 da sessão 2 hoje	Fluxo 30-60 da sessão 1 hoje	Fluxo 30-60 da sessão 2 hoje	Fluxo 60-120 da sessão 1 hoje	Fluxo 60-120 da sessão 2 hoje	Média do fluxo de hoje para a sessão 1	Média do fluxo de hoje para a sessão 2	Fluxo 0-15 da sessão 3 hoje	Pico do Fluxo de Hoje para a Sessão 1	Fluxo 15-30 da sessão 3 hoje	Pico do Fluxo de Hoje para a Sessão 2	Fluxo 30-60 da sessão 3 hoje	Fluxo 60-120 da sessão 3 hoje	Fluxo na Remoção de Hoje para a Sessão 1	Média do fluxo de hoje para a sessão 3	Fluxo na Remoção de Hoje para a Sessão 2	Pico do Fluxo de Hoje para a Sessão 3	Fluxo na Remoção de Hoje para a Sessão 3	Produção primeiros 2 minutos Sessão 3 hoje
4                      	4573            	1                 	87              	2,66                     	2,13                     	                         	09:24                                	15:49                                	                                     	04:34                                  	04:14                                  	                                       	1,10                                      	0,85                                      	0,20                       	0,00                       	0,00                        	0,00                        	0,50                        	0,30                        	0,80                         	0,70                         	0,5                                   	0,5                                   	                           	1,1                                  	                            	1,1                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
4                      	4546            	1                 	89              	13,23                    	8,59                     	                         	09:04                                	15:48                                	                                     	14:55                                  	10:01                                  	                                       	1,33                                      	1,20                                      	0,10                       	0,00                       	0,00                        	0,00                        	0,60                        	0,60                        	1,00                         	0,90                         	0,9                                   	0,8                                   	                           	1,5                                  	                            	1,4                                  	                            	                             	1,3                                     	                                      	0,1                                     	                                     	                                        	                                          
4                      	4548            	1                 	89              	16,22                    	                         	                         	09:43                                	                                     	                                     	11:19                                  	                                       	                                       	2,10                                      	                                          	0,00                       	                           	0,20                        	                            	1,10                        	                            	1,50                         	                             	1,4                                   	                                      	                           	2,3                                  	                            	                                     	                            	                             	0,0                                     	                                      	                                        	                                     	                                        	                                          
4                      	4550            	1                 	88              	11,21                    	6,29                     	                         	09:05                                	16:10                                	                                     	14:16                                  	10:43                                  	                                       	0,88                                      	0,85                                      	0,10                       	0,00                       	0,00                        	0,00                        	0,30                        	0,30                        	0,70                         	0,70                         	0,7                                   	0,5                                   	                           	1,4                                  	                            	1,2                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
4                      	4065            	1                 	92              	7,80                     	3,46                     	                         	08:53                                	16:23                                	                                     	04:20                                  	06:51                                  	                                       	4,58                                      	0,18                                      	0,10                       	0,10                       	1,00                        	0,20                        	2,80                        	0,20                        	2,90                         	0,00                         	1,8                                   	0,5                                   	                           	3,3                                  	                            	2,7                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
5                      	5408            	1                 	76              	10,33                    	7,39                     	                         	09:32                                	15:57                                	                                     	09:27                                  	06:45                                  	                                       	1,85                                      	2,05                                      	0,20                       	0,10                       	0,20                        	0,30                        	0,90                        	1,10                        	1,30                         	1,40                         	1,0                                   	1,0                                   	                           	1,6                                  	                            	1,7                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
5                      	4584            	1                 	34              	12,07                    	7,62                     	                         	09:25                                	15:57                                	                                     	12:23                                  	10:35                                  	                                       	1,03                                      	1,05                                      	0,10                       	0,00                       	0,00                        	0,00                        	0,40                        	0,50                        	0,80                         	0,80                         	0,9                                   	0,7                                   	                           	1,6                                  	                            	1,4                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
5                      	4572            	1                 	40              	10,95                    	                         	                         	09:37                                	                                     	                                     	11:30                                  	                                       	                                       	0,93                                      	                                          	0,10                       	                           	0,00                        	                            	0,40                        	                            	0,70                         	                             	0,9                                   	                                      	                           	1,7                                  	                            	                                     	                            	                             	0,1                                     	                                      	                                        	                                     	                                        	                                          
5                      	4554            	1                 	63              	10,54                    	6,34                     	                         	08:55                                	16:10                                	                                     	11:09                                  	08:21                                  	                                       	1,18                                      	1,10                                      	0,10                       	0,00                       	0,00                        	0,00                        	0,50                        	0,40                        	0,90                         	0,90                         	0,9                                   	0,7                                   	                           	1,6                                  	                            	1,4                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
5                      	4544            	1                 	42              	6,91                     	                         	                         	09:25                                	                                     	                                     	12:05                                  	                                       	                                       	0,60                                      	                                          	0,00                       	                           	0,00                        	                            	0,20                        	                            	0,50                         	                             	0,5                                   	                                      	                           	1,0                                  	                            	                                     	                            	                             	0,1                                     	                                      	                                        	                                     	                                        	                                          
6                      	4426            	2                 	31              	9,59                     	5,50                     	                         	07:42                                	15:14                                	                                     	13:34                                  	08:42                                  	                                       	1,18                                      	1,10                                      	0,00                       	0,00                       	0,10                        	0,00                        	0,70                        	0,60                        	0,80                         	0,80                         	0,7                                   	0,6                                   	                           	1,5                                  	                            	1,0                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
6                      	2648            	1                 	107             	14,87                    	10,41                    	                         	07:41                                	15:13                                	                                     	12:15                                  	11:48                                  	                                       	2,45                                      	2,13                                      	0,00                       	0,00                       	0,60                        	0,30                        	1,60                        	1,30                        	1,50                         	1,40                         	1,2                                   	0,8                                   	                           	1,8                                  	                            	1,7                                  	                            	                             	0,1                                     	                                      	0,0                                     	                                     	                                        	                                          
6                      	4475            	1                 	97              	13,14                    	6,79                     	                         	08:07                                	15:29                                	                                     	08:34                                  	05:33                                  	                                       	2,80                                      	2,35                                      	0,00                       	0,00                       	0,40                        	0,00                        	1,60                        	0,70                        	1,90                         	2,00                         	1,5                                   	1,2                                   	                           	2,4                                  	                            	2,3                                  	                            	                             	0,3                                     	                                      	0,1                                     	                                     	                                        	                                          
6                      	4477            	2                 	115             	12,12                    	5,66                     	                         	07:59                                	15:26                                	                                     	07:01                                  	04:32                                  	                                       	3,80                                      	2,58                                      	0,10                       	0,10                       	0,90                        	0,00                        	2,09                        	0,50                        	2,50                         	2,30                         	1,7                                   	1,2                                   	                           	2,9                                  	                            	2,8                                  	                            	                             	0,1                                     	                                      	0,2                                     	                                     	                                        	                                          
