Número do grupo        	Número do animal	Número de lactação	Dias em Lactação	Produção hoje na sessão 1	Produção hoje na sessão 2	Produção hoje na sessão 3	Horário de Ordenha Hoje para Sessão 1	Horário de Ordenha Hoje para Sessão 2	Horário de Ordenha Hoje para Sessão 3	Duração de hoje para a sessão 1 (mm:ss)	Duração de hoje para a sessão 2 (mm:ss)	Duração de hoje para a sessão 3 (mm:ss)	Produção primeiros 2 minutos Sessão 1 hoje	Produção primeiros 2 minutos Sessão 2 hoje	Fluxo 0-15 da sessão 1 hoje	Fluxo 0-15 da sessão 2 hoje	Fluxo 15-30 da sessão 1 hoje	Fluxo 15-30 da sessão 2 hoje	Fluxo 30-60 da sessão 1 hoje	Fluxo 30-60 da sessão 2 hoje	Fluxo 60-120 da sessão 1 hoje	Fluxo 60-120 da sessão 2 hoje	Média do fluxo de hoje para a sessão 1	Média do fluxo de hoje para a sessão 2	Fluxo 0-15 da sessão 3 hoje	Pico do Fluxo de Hoje para a Sessão 1	Fluxo 15-30 da sessão 3 hoje	Pico do Fluxo de Hoje para a Sessão 2	Fluxo 30-60 da sessão 3 hoje	Fluxo 60-120 da sessão 3 hoje	Fluxo na Remoção de Hoje para a Sessão 1	Média do fluxo de hoje para a sessão 3	Fluxo na Remoção de Hoje para a Sessão 2	Pico do Fluxo de Hoje para a Sessão 3	Fluxo na Remoção de Hoje para a Sessão 3	Produção primeiros 2 minutos Sessão 3 hoje
3                      	5403            	1                 	92              	13,16                    	6,16                     	                         	08:38                                	16:04                                	                                     	06:52                                  	04:03                                  	                                       	3,38                                      	2,03                                      	0,00                       	0,10                       	0,30                        	0,00                        	1,80                        	0,40                        	2,40                         	1,80                         	1,9                                   	1,5                                   	                           	2,9                                  	                            	2,4                                  	                            	                             	0,1                                     	                                      	1,6                                     	                                     	                                        	                                          
3                      	5409            	1                 	92              	11,20                    	5,73                     	                         	08:37                                	16:21                                	                                     	07:43                                  	04:52                                  	                                       	2,35                                      	2,23                                      	0,10                       	0,00                       	0,10                        	0,10                        	1,00                        	1,00                        	1,80                         	1,70                         	1,4                                   	1,1                                   	                           	2,4                                  	                            	2,0                                  	                            	                             	0,0                                     	                                      	0,1                                     	                                     	                                        	                                          
3                      	4582            	1                 	91              	10,51                    	5,06                     	                         	08:08                                	15:46                                	                                     	11:11                                  	07:02                                  	                                       	1,13                                      	0,55                                      	0,10                       	0,00                       	0,00                        	0,00                        	0,60                        	0,10                        	0,80                         	0,50                         	0,9                                   	0,7                                   	                           	1,4                                  	                            	1,3                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
3                      	4557            	1                 	79              	14,45                    	8,08                     	                         	08:27                                	16:21                                	                                     	16:11                                  	09:30                                  	                                       	1,93                                      	1,05                                      	0,20                       	0,00                       	0,90                        	0,00                        	1,10                        	0,30                        	1,10                         	0,90                         	0,8                                   	0,8                                   	                           	1,7                                  	                            	1,5                                  	                            	                             	0,1                                     	                                      	1,2                                     	                                     	                                        	                                          
3                      	4560            	1                 	93              	15,85                    	8,84                     	                         	08:27                                	16:21                                	                                     	14:43                                  	09:20                                  	                                       	1,53                                      	1,58                                      	0,10                       	0,00                       	0,20                        	0,10                        	0,70                        	0,70                        	1,10                         	1,20                         	1,0                                   	0,9                                   	                           	1,9                                  	                            	1,6                                  	                            	                             	0,5                                     	                                      	0,1                                     	                                     	                                        	                                          
3                      	4551            	1                 	91              	12,89                    	7,18                     	                         	08:27                                	15:47                                	                                     	11:15                                  	07:31                                  	                                       	2,28                                      	1,58                                      	0,10                       	0,10                       	0,20                        	0,00                        	1,20                        	0,70                        	1,60                         	1,20                         	1,1                                   	0,9                                   	                           	1,9                                  	                            	1,7                                  	                            	                             	0,3                                     	                                      	0,0                                     	                                     	                                        	                                          
3                      	4525            	1                 	91              	10,71                    	4,78                     	                         	08:20                                	16:04                                	                                     	09:04                                  	05:23                                  	                                       	2,40                                      	1,83                                      	0,00                       	0,00                       	0,20                        	0,10                        	1,30                        	0,80                        	1,70                         	1,40                         	1,1                                   	0,8                                   	                           	2,0                                  	                            	1,7                                  	                            	                             	0,1                                     	                                      	0,0                                     	                                     	                                        	                                          
3                      	4535            	1                 	91              	9,73                     	5,00                     	                         	08:27                                	16:04                                	                                     	09:06                                  	07:05                                  	                                       	1,70                                      	1,15                                      	0,00                       	0,00                       	0,20                        	0,00                        	0,70                        	0,30                        	1,30                         	1,00                         	1,0                                   	0,7                                   	                           	1,7                                  	                            	1,4                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
3                      	4066            	1                 	94              	7,60                     	6,44                     	                         	08:36                                	16:20                                	                                     	14:55                                  	10:13                                  	                                       	0,03                                      	1,03                                      	0,10                       	0,10                       	0,00                        	0,00                        	0,00                        	0,60                        	0,00                         	0,70                         	0,5                                   	0,6                                   	                           	1,2                                  	                            	1,0                                  	                            	                             	0,0                                     	                                      	0,1                                     	                                     	                                        	                                          
4                      	5407            	1                 	95              	13,85                    	                         	                         	08:58                                	                                     	                                     	11:00                                  	                                       	                                       	1,70                                      	                                          	0,10                       	                           	0,30                        	                            	0,80                        	                            	1,20                         	                             	1,2                                   	                                      	                           	1,9                                  	                            	                                     	                            	                             	0,1                                     	                                      	                                        	                                     	                                        	                                          
